Data,xfilt,yfilt,xRaw,yRaw,pin0,pin1,pin2,pin3,pin4,
Data,162,-36,160,-37,0,0,0,0,0,

Data,162,-36,166,-37,0,0,0,0,0,

Data,162,-36,159,-37,0,0,0,0,0,

Data,162,-36,164,-37,0,0,0,0,0,

Data,160,-36,155,-37,0,0,0,0,0,

Data,158,-36,161,-37,0,0,0,0,0,

Data,157,-36,152,-37,0,0,0,0,0,

Data,156,-36,159,-37,0,0,0,0,0,

Data,156,-36,152,-37,0,0,0,0,0,

Data,156,-36,159,-37,0,0,0,0,0,

Data,156,-36,152,-37,0,0,0,0,0,

Data,156,-36,160,-37,0,0,0,0,0,

Data,155,-36,151,-37,0,0,0,0,0,

Data,155,-36,159,-37,0,0,0,0,0,

Data,155,-36,151,-37,0,0,0,0,0,

Data,155,-36,159,-37,0,0,0,0,0,

Data,155,-36,151,-37,0,0,0,0,0,

Data,155,-36,159,-37,0,0,0,0,0,

Data,156,-36,152,-37,0,0,0,0,0,

Data,156,-36,160,-37,0,0,0,0,0,

Data,156,-36,152,-37,0,0,0,0,0,

Data,157,-36,161,-37,0,0,0,0,0,

Data,158,-36,155,-37,0,0,0,0,0,

Data,159,-36,163,-37,0,0,0,0,0,

Data,160,-36,156,-37,0,0,0,0,0,

Data,160,-36,163,-37,0,0,0,0,0,

Data,160,-36,157,-37,0,0,0,0,0,

Data,160,-36,163,-37,0,0,0,0,0,

Data,159,-36,154,-37,0,0,0,0,0,

Data,158,-36,160,-37,0,0,0,0,0,

Data,157,-36,152,-37,0,0,0,0,0,

Data,156,-36,159,-37,0,0,0,0,0,

Data,155,-36,150,-37,0,0,0,0,0,

Data,154,-36,158,-37,0,0,0,0,0,

Data,154,-36,150,-37,0,0,0,0,0,

Data,154,-36,157,-37,0,0,0,0,0,

Data,154,-36,150,-37,0,0,0,0,0,

Data,154,-36,158,-37,0,0,0,0,0,

Data,154,-36,151,-37,0,0,0,0,0,

Data,155,-36,159,-37,0,0,0,0,0,

Data,156,-36,153,-37,0,0,0,0,0,

Data,157,-36,161,-37,0,0,0,0,0,

Data,157,-36,153,-37,0,0,0,0,0,

Data,157,-36,161,-37,0,0,0,0,0,

Data,157,-36,152,-37,0,0,0,0,0,

Data,156,-36,159,-37,0,0,0,0,0,

Data,155,-36,151,-37,0,0,0,0,0,

Data,155,-36,159,-37,0,0,0,0,0,

Data,156,-36,152,-37,0,0,0,0,0,

Data,156,-36,158,-37,0,0,0,0,0,

Data,154,-36,149,-37,0,0,0,0,0,

Data,152,-36,155,-37,0,0,0,0,0,

Data,151,-36,147,-37,0,0,0,0,0,

Data,151,-36,155,-37,0,0,0,0,0,

Data,151,-36,147,-37,0,0,0,0,0,

Data,151,-36,155,-37,0,0,0,0,0,

Data,151,-36,146,-37,0,0,0,0,0,

Data,150,-36,152,-37,0,0,0,0,0,

Data,148,-36,142,-37,0,0,0,0,0,

Data,146,-36,150,-37,0,0,0,0,0,

Data,146,-36,142,-37,0,0,0,0,0,

Data,146,-36,150,-37,0,0,0,0,0,

Data,147,-36,146,-37,0,0,0,0,0,

Data,150,-36,155,-37,0,0,0,0,0,

Data,153,-36,152,-37,0,0,0,0,0,

Data,156,-36,161,-37,0,0,0,0,0,

Data,159,-36,157,-37,0,0,0,0,0,

Data,160,-36,164,-37,0,0,0,0,0,

