Data,x,y,pin1,pin2,pin3,pin4,pin5,
Data,241,-37,0,0,0,0,0,

Data,237,-37,0,0,0,0,0,

Data,238,-37,0,0,0,0,0,

Data,236,-37,0,0,0,0,0,

Data,239,-37,0,0,0,0,0,

Data,236,-37,0,0,0,0,0,

Data,238,-37,0,0,0,0,0,

Data,235,-37,0,0,0,0,0,

Data,237,-37,0,0,0,0,0,

Data,235,-37,0,0,0,0,0,

Data,238,-37,0,0,0,0,0,

Data,235,-37,0,0,0,0,0,

Data,237,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,237,-37,0,0,0,0,0,

Data,236,-37,0,0,0,0,0,

Data,240,-37,0,0,0,0,0,

Data,237,-37,0,0,0,0,0,

Data,241,-37,0,0,0,0,0,

Data,239,-37,0,0,0,0,0,

Data,243,-37,0,0,0,0,0,

Data,241,-37,0,0,0,0,0,

Data,245,-37,0,0,0,0,0,

Data,243,-37,0,0,0,0,0,

Data,245,-37,0,0,0,0,0,

Data,241,-37,0,0,0,0,0,

Data,240,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,233,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,235,-37,0,0,0,0,0,

Data,235,-37,0,0,0,0,0,

Data,238,-37,0,0,0,0,0,

Data,237,-37,0,0,0,0,0,

Data,238,-37,0,0,0,0,0,

Data,233,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,235,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,238,-37,0,0,0,0,0,

Data,236,-37,0,0,0,0,0,

Data,238,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,235,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

