Data,x,y,b1,b2,b3,b4,b5,
Data,26,-36,0,0,0,0,0,

Data,35,-36,0,0,0,0,0,

Data,11,-36,0,0,0,0,0,

Data,21,-36,0,0,0,0,0,

Data,-1,-36,0,0,0,0,0,

Data,8,-36,0,0,0,0,0,

Data,-13,-36,0,0,0,0,0,

Data,-3,-36,0,0,0,0,0,

Data,-24,-36,0,0,0,0,0,

Data,-11,-36,0,0,0,0,0,

Data,-33,-36,0,0,0,0,0,

Data,-21,-36,0,0,0,0,0,

Data,-41,-36,0,0,0,0,0,

Data,-27,-36,0,0,0,0,0,

Data,-47,-36,0,0,0,0,0,

Data,-35,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-44,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-48,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-53,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

